ticker,gics_sector
MTD,Health Care
MU,Information Technology
NCLH,Consumer Discretionary
NDAQ,Financials
NDSN,Industrials
NEE,Utilities
NEM,Materials
NFLX,Communication Services
NI,Utilities
NKE,Consumer Discretionary
NOC,Industrials
NOW,Information Technology
NRG,Utilities
NSC,Industrials
NTAP,Information Technology
NTRS,Financials
NUE,Materials
NVDA,Information Technology
NVR,Consumer Discretionary
NWL,Consumer Discretionary
NWS,Communication Services
NWSA,Communication Services
NXPI,Information Technology
O,Real Estate
ODFL,Industrials
OGN,Health Care
OKE,Energy
OMC,Communication Services
ON,Information Technology
ORCL,Information Technology
ORLY,Consumer Discretionary
OTIS,Industrials
OXY,Energy
PARA,Communication Services
PAYC,Information Technology
PAYX,Industrials
PCAR,Industrials
PCG,Utilities
PEAK,Real Estate
PEG,Utilities
PEP,Consumer Staples
PFE,Health Care
PFG,Financials
PG,Consumer Staples
PGR,Financials
PH,Industrials
PHM,Consumer Discretionary
PKG,Materials
PKI,Health Care
PLD,Real Estate
PM,Consumer Staples
PNC,Financials
PNR,Industrials
PNW,Utilities
POOL,Consumer Discretionary
PPG,Materials
PPL,Utilities
PRU,Financials
PSA,Real Estate
PSX,Energy
PTC,Information Technology
PVH,Consumer Discretionary
PWR,Industrials
PXD,Energy
PYPL,Financials
QCOM,Information Technology
QRVO,Information Technology
RCL,Consumer Discretionary
RE,Financials
REG,Real Estate
REGN,Health Care
RF,Financials
RHI,Industrials
RJF,Financials
RL,Consumer Discretionary
RMD,Health Care
ROK,Industrials
ROL,Industrials
ROP,Industrials
ROST,Consumer Discretionary
RSG,Industrials
RTX,Industrials
SBAC,Real Estate
SBNY,Financials
SBUX,Consumer Discretionary
SCHW,Financials
SEE,Materials
SHW,Materials
SIVB,Financials
SJM,Consumer Staples
SLB,Energy
SNA,Industrials
SNPS,Information Technology
SO,Utilities
SPG,Real Estate
SPGI,Financials
SRE,Utilities
STE,Health Care
STT,Financials
STX,Information Technology
STZ,Consumer Staples
SWK,Industrials
SWKS,Information Technology
SYF,Financials
SYK,Health Care
SYY,Consumer Staples
T,Communication Services
TAP,Consumer Staples
TDG,Industrials
TDY,Industrials
TECH,Health Care
TEL,Information Technology
TER,Information Technology
TFC,Financials
TFX,Health Care
TGT,Consumer Discretionary
TJX,Consumer Discretionary
TMO,Health Care
TMUS,Communication Services
TPR,Consumer Discretionary
TRGP,Energy
TRMB,Information Technology
TROW,Financials
TRV,Financials
TSCO,Consumer Discretionary
TSLA,Consumer Discretionary
TSN,Consumer Staples
TT,Industrials
TTWO,Communication Services
TXN,Information Technology
TXT,Industrials
TYL,Information Technology
UAL,Industrials
UDR,Real Estate
UHS,Health Care
ULTA,Consumer Discretionary
UNH,Health Care
UNP,Industrials
UPS,Industrials
URI,Industrials
USB,Financials
V,Financials
VFC,Consumer Discretionary
VICI,Real Estate
VLO,Energy
VMC,Materials
VNO,Real Estate
VRSK,Industrials
VRSN,Information Technology
VRTX,Health Care
VTR,Real Estate
VTRS,Health Care
VZ,Communication Services
WAB,Industrials
WAT,Health Care
WBA,Consumer Staples
WBD,Communication Services
WDC,Information Technology
WELL,Real Estate
WEC,Utilities
WFCC,Financials
WFC,Financials
WHR,Consumer Discretionary
WM,Industrials
WMB,Energy
WMT,Consumer Staples
WRB,Financials
WRK,Materials
WST,Health Care
WTW,Financials
WY,Real Estate
WYNN,Consumer Discretionary
XEL,Utilities
XOM,Energy
XRAY,Health Care
XYL,Industrials
YUM,Consumer Discretionary
ZBH,Health Care
ZBRA,Information Technology
ZION,Financials
ZTS,Health Care
AAON,Industrials
ACHR,Industrials
ADSE,Industrials
AFCG,Real Estate
AGAE,Communication Services
AMSC,Industrials
APP,Communication Services
AR,Energy
BCE,Communication Services
BHP,Materials
BIDU,Communication Services
BP,Energy
CCOEY,Communication Services
CMC,Materials
CWCO,Utilities
DJT,Communication Services
DOYU,Communication Services
DSX,Industrials
EADSF,Industrials
EADSY,Industrials
EHGO,Industrials
EOSE,Industrials
FBIN,Industrials
FUBO,Communication Services
FWRD,Industrials
GBX,Industrials
GEV,Industrials
GFL,Industrials
GLCNF,Materials
GLNCY,Materials
GLNG,Energy
GP,Industrials
GSL,Industrials
GURE,Materials
HQI,Industrials
HTZ,Industrials
IEP,Energy
IIPR,Real Estate
ILPT,Real Estate
JBLU,Industrials
JVTSF,Communication Services
KTOS,Industrials
LBTYA,Communication Services
LBUY,Communication Services
LXP,Real Estate
MANU,Communication Services
MITSF,Industrials
MTDR,Energy
MUR,Energy
MXC,Energy
NLCP,Real Estate
NNE,Industrials
NTES,Communication Services
NWGL,Materials
NXST,Communication Services
PAC,Industrials
PR,Energy
RBLX,Communication Services
RCI,Communication Services
REFI,Real Estate
RELX,Industrials
RIO,Materials
RMAX,Real Estate
RPM,Materials
SAIA,Industrials
SFTBF,Communication Services
SFTBY,Communication Services
SHEL,Energy
SIRI,Communication Services
SKE,Materials
SKYH,Real Estate
SSP,Communication Services
STAG,Real Estate
SU,Energy
TBLA,Communication Services
TECK,Materials
TTE,Energy
TYHOF,Industrials
ULCC,Industrials
UP,Industrials
VALE,Materials
VOLVF,Industrials
VRT,Industrials
VSME,Communication Services
VST,Utilities
ZCAR,Industrials
ZDPY,Real Estate
ZIM,Industrials
ZONE,Industrials
ABR,Real Estate
ACA,Industrials
AEM,Materials
AER,Industrials
AGI,Materials
AHH,Real Estate
AREC,Materials
ARI,Real Estate
AROC,Energy
ASPI,Materials
ATI,Industrials
BILI,Communication Services
BLDR,Industrials
BODI,Communication Services
BTG,Materials
BWLP,Industrials
BWMN,Industrials
CDE,Materials
CENX,Materials
CRH,Materials
CVE,Energy
CVI,Energy
DINO,Energy
DK,Energy
DLPN,Communication Services
DLR,Real Estate
ECVT,Materials
ERO,Materials
EXK,Materials
EXP,Materials
FERG,Industrials
FNV,Materials
FRD,Materials
FSV,Real Estate
FWONK,Communication Services
GAU,Materials
GFR,Energy
GLPI,Real Estate
GPAK,Industrials
GPOR,Energy
GTN,Communication Services
GWH,Industrials
HBM,Materials
HIHO,Industrials
HL,Materials
HLMN,Industrials
HOFV,Communication Services
HOVR,Industrials
IMO,Energy
JELD,Industrials
JOBY,Industrials
KALU,Materials
KGC,Materials
KORE,Communication Services
LCFY,Communication Services
MDIA,Communication Services
MLI,Industrials
MPLX,Energy
MTZ,Industrials
NEXOY,Communication Services
NFG,Energy
NOG,Energy
NTDOY,Communication Services
NTIC,Materials
NX,Industrials
OC,Industrials
OR,Materials
ORLA,Materials
OVV,Energy
PAAS,Materials
PBF,Energy
PINS,Communication Services
PODC,Communication Services
R,Industrials
RBC,Industrials
REPX,Energy
RGLD,Materials
RKLB,Industrials
ROKU,Communication Services
SANW,Materials
SCCO,Materials
SITE,Industrials
SMR,Industrials
SPHR,Communication Services
SPOT,Communication Services
SPXC,Industrials
SST,Industrials
STGW,Communication Services
SUZ,Materials
SWIM,Industrials
TCEHY,Communication Services
TFPM,Materials
TGNA,Communication Services
TKO,Communication Services
TME,Communication Services
TREX,Industrials
TTD,Communication Services
TWO,Real Estate
UGRO,Industrials
ULS,Industrials
UUU,Industrials
WCC,Industrials
WPC,Real Estate
WPM,Materials
WTS,Industrials
Z,Communication Services
AAL,Industrials
ACRE,Real Estate
AEHL,Industrials
AG,Materials
AIR,Industrials
ALGT,Industrials
ATHM,Communication Services
AYI,Industrials
BDN,Real Estate
BIOX,Materials
BLNK,Industrials
BRSP,Real Estate
BXMT,Real Estate
CDRE,Industrials
CMTG,Real Estate
CNH,Industrials
CRC,Energy
EC,Energy
ENB,Energy
ENR,Industrials
EPD,Energy
EPR,Real Estate
ESRT,Real Estate
FBRT,Real Estate
FOR,Real Estate
FTAI,Industrials
HAYW,Industrials
HE,Utilities
HHH,Real Estate
HPK,Energy
HXL,Industrials
IMPP,Energy
JHX,Materials
KITT,Industrials
KREF,Real Estate
KSCP,Industrials
LADR,Real Estate
LBRDK,Communication Services
LBRT,Energy
LNG,Energy
LODE,Materials
LVRO,Materials
LZ,Industrials
MAN,Industrials
MITT,Real Estate
MMLP,Energy
MT,Materials
NCSM,Energy
NFE,Energy
NYC,Real Estate
OHI,Real Estate
PINE,Real Estate
PLUG,Industrials
PMT,Real Estate
PVL,Energy
PW,Real Estate
QMMM,Communication Services
QXO,Industrials
RC,Real Estate
RITM,Real Estate
RWT,Real Estate
SCHL,Communication Services
SERV,Industrials
SIFY,Communication Services
SLE,Communication Services
SLG,Real Estate
SNAP,Communication Services
SNCY,Industrials
STLD,Materials
STWD,Real Estate
SXC,Materials
TC,Communication Services
TRTX,Real Estate
USAS,Materials
USDC,Communication Services
VATE,Industrials
WIMI,Communication Services
XPON,Industrials
ZH,Communication Services
AIT,Industrials
ALEX,Real Estate
AMC,Communication Services
ATLX,Materials
ATNI,Communication Services
B,Materials
BAH,Industrials
BCPC,Materials
BVN,Materials
BZ,Communication Services
CCS,Real Estate
CHCT,Real Estate
CLB,Energy
CLH,Industrials
CNQ,Energy
CRKN,Materials
CRS,Industrials
CSL,Industrials
CTO,Real Estate
CUBE,Real Estate
CVLG,Industrials
DOUG,Real Estate
E,Energy
EAF,Industrials
